ratio,avg_exe,e1,e2,e3,e4,e5
0.05,13.066508999999998,12.185547,12.1882,13.361818999999999,13.649507999999999,14.58402
0.1,14.680386333333336,14.039199,14.663905000000002,14.669957,14.707297,14.93257
0.15,14.201175000000001,13.009852,14.133519,14.186664,14.283342000000001,14.446503
0.2,14.895007666666666,14.640583000000001,14.777061,14.900754999999998,15.007207000000001,15.488850000000001
0.25,15.228817666666666,14.11124,14.986813,15.326991,15.372649,16.122692
0.3,15.380693333333333,14.045352000000001,15.08723,15.466893,15.587957000000001,16.776173
0.35,15.636636000000001,14.79179,15.111882,15.490885,16.307140999999998,17.035832
0.4,16.638673999999998,14.642555,15.933639999999999,16.63512,17.347261999999997,17.483666
0.45,16.859861999999996,16.259288,16.597762,16.621716,17.360108,17.532047
0.5,17.041486333333335,16.542485,16.651828000000002,17.225034,17.247597000000003,17.250598
0.55,16.960165333333332,16.628611,16.640577,16.642182000000002,17.597737000000002,17.890293
0.6,12.679536333333331,12.663027,12.666895,12.679625,12.692089,12.709007
0.65,13.010460333333334,12.947880999999999,12.997562,13.010011,13.023808,13.089274
0.7,13.426963666666666,13.405303,13.415663,13.418944,13.446284,13.448135
0.75,13.765362999999999,13.74513,13.748342000000001,13.771237999999999,13.776509,13.787116
0.8,14.166230666666666,14.134305,14.150048,14.16661,14.182034,14.183978
0.85,14.513226666666668,14.430602,14.496404,14.521357,14.521919,14.53345
0.9,14.867131999999998,14.836326,14.847501,14.872784,14.881111,14.908825
0.95,15.273897,15.235968999999999,15.266162,15.26914,15.286389,15.321215
1.0,1.4862833333333334,1.484509,1.4845519999999999,1.4865350000000002,1.487763,1.490593
