ratio,exe_time
0.1,23.279156
0.2,13.456195
0.3,16.283403
0.4,16.713831
0.5,16.736966
0.6,12.928783
0.7,13.495471
0.8,14.246484
0.9,15.082079
1.0,1.4874049999999999
