ratio,avg_exe,e1,e2,e3,e4,e5
0.05,187.68253072102866,186.58958339691162,186.8484823703766,187.65238285064697,188.54672694206238,189.08287525177002
0.1,142.48759007453918,142.24478602409363,142.34222841262817,142.38547229766846,142.73506951332092,142.7770676612854
0.15,89.40534353256226,89.09822034835815,89.38154554367065,89.39806485176086,89.43642020225525,89.59106993675232
0.2,73.92432149251302,73.08286309242249,73.39233207702637,73.90896224975586,74.47167015075684,75.33450078964233
0.25,60.520217180252075,60.09996509552002,60.31685757637024,60.45697546005249,60.786818504333496,61.03046751022339
0.3,51.63751252492269,51.30038928985596,51.35796523094177,51.59421253204346,51.96035981178284,52.21136522293091
0.35,45.10317953427633,44.29258847236633,45.02423906326294,45.05054569244385,45.23475384712219,45.44174575805664
0.4,38.30001743634542,37.982903480529785,37.99589920043945,38.208985805511475,38.69516730308533,39.00239849090576
0.45,33.31506069501241,33.124629974365234,33.25634694099426,33.262279987335205,33.426555156707764,33.729225873947144
0.5,27.148452281951904,27.092220544815063,27.095539808273315,27.1291925907135,27.220624446868896,27.854304552078247
0.55,18.864929755528767,18.206608295440674,18.722176790237427,18.85470485687256,19.01790761947632,19.160608053207397
0.6,17.09899393717448,17.046616792678833,17.07479166984558,17.0960693359375,17.126120805740356,17.26663613319397
0.65,16.4780490398407,16.453169107437134,16.458972692489624,16.46951150894165,16.50566291809082,16.625672817230225
0.7,16.588770548502605,16.520574808120728,16.52104091644287,16.615187644958496,16.630083084106445,16.63676404953003
0.75,16.69152291615804,16.337289810180664,16.485997438430786,16.68906259536743,16.899508714675903,16.901036262512207
0.8,16.57330862681071,16.52190065383911,16.528103828430176,16.588699102401733,16.60312294960022,16.65250277519226
0.85,16.414544661839802,16.255913257598877,16.3550705909729,16.398886919021606,16.489676475524902,16.520047187805176
0.9,15.944673697153727,15.84262490272522,15.846469640731812,15.989649295806885,15.997902154922485,16.031495332717896
0.95,12.944904088973999,12.823018312454224,12.867757797241211,12.950156450271606,13.01679801940918,13.3350350856781
1.0,10.111848672231039,9.924103021621704,10.104830980300903,10.112191438674927,10.118523597717285,10.125173091888428
